N.,Denominaci�n,Departamento,Provincia,Distrito,�rea
69,Asociacion Ayniy Latinoamerica,Lima,Lima,Ate,ambiente / ciencia y tecnología
70,Asociacion Bartolome Aripaylla,Ayacucho,Ayacucho,Carmen Alto,ambiente / género / producción
71,Asociacion Bautista Hogar Para Menores Nueva Esperanza,Arequipa,Arequipa,Jose Luis Bustamante y Rivero,educación / género / salud
72,Asociacion Benefica Alianza Por El Bien Comun,Lima,Lima,Lurin,educación
73,Asociacion Benefica Maria Echevarria Saona,Lima,Lima,Santiago de Surco,salud
74,Asociacion Benefica Prisma,Lima,Lima,San Isidro,agropecuario / inclusión social / salud
75,Asociacion Benefica Ruwasunchis,Lima,Lima,Surquillo,ambiente / educación / género / inclusión social
76,Asociacion Benefica Solidaria Cardiosalud-Organismo No Gubernamental,Arequipa,Arequipa,Yanahuara,ambiente / salud
77,Asociación Benefico Cristiana Promotora de Desarrollo Integral,Cusco,Cusco,Cusco,educación
78,Asociacion Bio Modus Tropical,Lima,Lima,La Molina,educación
79,Asociacion Bioselva Peru,Loreto,Loreto,Yurimaguas,agropecuario / inclusión social / producción
80,Asociacion Buena Educacion,Lima,Lima,Santiago De Surco,educación
81,Asociación Carceleria Lideres al Servicio de la Comunidad,Ancash,Ancash,Chimbote,género
82,Asociación Caridad y Solidaridad para el Bienestar del Adulto Mayor,Lima,Lima,Ate,género
83,Asociación Caritas Felices de Ilo,Moquegua,Moquegua,Pacocha,educación / salud
84,Asociación Caritas Felices por la Salud y el Bienestar,Lambayeque,Lambayeque,La Victoria,salud
85,Asociación Carmen Loya,La Libertad,La Libertad,Trujillo,género
86,Asociación Casa de la Mujer Carmelitana,Ica,Ica,El Carmen,género
87,Asociación Casa Ronald Mcdonald de Perú,Lima,Lima,Santiago De Surco,educación / género
88,Asociación Casas de la Misericordia,Lima,Lima,Lurigancho,educación / género / salud
89,Asociación Casas de la Salud,Ica,Ica,Subtanjalla,educación / salud
90,Asociación Centro de Apoyo para el Desarrollo Sostenible de las Comunidades Campesinas del Perú Bosque Dorado - Cades Perú,Junin,Junin,El Tambo,educación
91,"Asociación Centro de Educación, Organización y Promoción del Desarrollo Ilo",Moquegua,Moquegua,Ilo,educación
92,Asociacion Centro de Estudios y Promoción del Desarrollo Andino Amazónico - Descocentro,Junin,Junin,Huancayo,educación / gobernabilidad
93,Asociación Centro de Estudios y Proyectos Sociales para con las Comunidades de Apurimac Perú,Apurimac,Apurimac,Abancay,agropecuario
94,Asociación Centro de Innovación Científica Amazónica,Madre De Dios,Madre De Dios,Tambopata,ambiente
95,Asociacion Chico Latino,Cusco,Cusco,San Sebastian,educación / género
96,Asociacion Choque Auqui,Lima,Lima,Villa El Salvador,ambiente / salud
97,Asociación Chuyma de Apoyo Rural,Puno,Puno,Puno,agropecuario / ambiente / educación / gobernabilidad / producción / salud
98,Asociación Cientifica de Emprendedores en Seguridad y Salud Ocupacional,Junin,Junin,El Tambo,educación / salud
99,Asociación Ciudad Paraiso Ecológico de Paracas,Lima,Lima,Jesus Maria,ambiente
100,"Asociación Civil ""Aun Hay Esperanza""",Junin,Junin,Huancayo,educación / justicia / salud
101,Asociación Civil Alianza Arkana,Ucayali,Ucayali,Yarinacocha,ambiente / gobernabilidad
102,Asociación Civil Alianza para el Desarrollo Tumi,Lima,Lima,Los Olivos,agropecuario / ciencia y tecnología / comercio y turismo / economía / educación / género / gobernabilidad / producción / salud / trabajo / vivienda y saneamiento
103,"Asociación Civil Autonoma y Sin Fines de Lucro: Organismo No Gubernamental de Desarrollo ""Mejorando Vidas""",Ayacucho,Ayacucho,Ayacucho,ambiente / educación
104,Asociación Civil Brazos del Padre,Cajamarca,Cajamarca,Jaen,género
105,Asociación Civil Brigada de Salvamento y Rescate Los Chinchas,Lima,Lima,Lima,educación / género
106,Asociacion Civil Centro de Cultura Popular Labor,Pasco,Pasco,Chaupimarca,cultura / educación / género
107,Asociacion Civil Centro de Desarrollo Andino Sisay,Ayacucho,Ayacucho,Ayacucho,agropecuario / género
108,Asociacion Civil Centro de Estudios Solidarios Amazonicos,Cajamarca,Cajamarca,Jaen,género
109,Asociacion Civil Centro de Investigacion De Desarrollo Local - Cidel,Huanuco,Huanuco,Huanuco,género / seguridad / trabajo
110,Asociacion Civil Centro de Promocion Para La Inversion En El Desarrollo - Cpinde,San Martin,San Martin,Tarapoto,agropecuario / ambiente
111,Asociacion Civil Chibolito,Cajamarca,Cajamarca,Cajamarca,género
112,Asociacion Civil Comunidad Ecoturistica Sisayacu Pongo de Caynarachi-Lamas-Region San Martin Peru,San Martin,San Martin,Tarapoto,ambiente
113,Asociacion Civil Consultoria Educativa Urpi,Lima,Lima,Independencia,educación / salud
114,Asociacion Civil Cooperacion Andina,Moquegua,Moquegua,Moquegua,educación
