N.,Denominaci�n,Departamento,Provincia,Distrito,�rea
261,Asociacion Diabet´S Control,Ica,Ica,Ica,género
262,Asociacion Dignidad Humana Y Solidaridad,Lima,Lima,Surquillo,género
263,Asociacion Dignidad Peru,Loreto,Loreto,Iquitos,educación / género / salud / vivienda y saneamiento
264,Asociacion Ecologica Pumamayu - Pumamayu,Ayacucho,Ayacucho,Ayacucho,ambiente
265,Asociacion Ecologica Sacha Runa,San Martin,San Martin,Sauce,ambiente
266,Asociacion Ecosistemas Andinos,Cusco,Cusco,Wanchaq,ambiente
267,Asociacion Educa Pacifico San Felipe,Lima,Lima,Comas,educación / género
268,Asociacion Educacion Para El Desarrollo Amazonico,Loreto,Loreto,Yurimaguas,educación
269,Asociacion Educativa Informatica Para El Desarrollo,Lima,Lima,Lima,género / trabajo
270,Asociacion Educativa Wiñaypaq,Cusco,Cusco,Taray,ambiente / salud
271,Asociacion Ejecutor De Contrato De Administracion De Reserva Comunal Machiguenga,Cusco,Cusco,Santa Ana,ambiente / género
272,Asociacion Emmanuel,Lima,Lima,Jesus Maria,educación / género / gobernabilidad / inclusión social / salud
273,Asociacion Emprende Ideas Peru,Cajamarca,Cajamarca,Jaen,inclusión social
274,Asociacion Empresarios Por La Educacion,Lima,Lima,Miraflores,educación
275,Asociacion Equilibrio,Lima,Lima,Jesus Maria,educación / salud
276,Asociacion Especializada En Desarrollo Rural Alternativo - Apurimac,Apurimac,Apurimac,Abancay,educación
277,Asociacion Especializada Para El Desarrollo Sostenible,Arequipa,Arequipa,Arequipa,gobernabilidad
278,Asociacion Esperanza Para La Vida,La Libertad,La Libertad,Victor Larco Herrera,género / salud
279,"Asociacion Esperanza, Agua Y Vida",Lima,Lima,Jesus Maria,ambiente / educación / vivienda y saneamiento
280,Asociacion Evangelica De Cooperacion Manos Unidas - Asecomu,Lima,Lima,Chancay,educación / salud
281,Asociacion Familia Sana,Cajamarca,Cajamarca,Cajamarca,ciencia y tecnología / educación / género / gobernabilidad / inclusión social / salud
282,Asociacion Familias En Accion,Lima,Lima,Surquillo,género
283,Asociacion Fe Y Alegria Del Peru,Lima,Lima,Jesus Maria,educación
284,Asociacion Fomento Y Promocion Para El Desarrollo Andino - Fodesa,Junin,Junin,Junin,ambiente / gobernabilidad / trabajo
285,Asociacion Franco Peruana De Fomento Al Desarrollo Arequipa,Arequipa,Arequipa,Socabaya,educación / género / gobernabilidad / inclusión social / salud
286,Asociacion Generadora De Actividades Productivas Y El Bienestar Familiar Del Peru,Lima,Lima,Jesus Maria,educación / género / salud
287,Asociacion Giuseppe Antonio Mungi Armitano,Lima,Lima,Barranco,género
288,Asociacion Grupo De Trabajo Redes,Lima,Lima,Miraflores,educación / género / justicia / salud / transportes y comunicaciones
289,Asociacion Hatun Nuna Para El Desarrollo Social,Ancash,Ancash,Independencia,educación / género
290,Asociacion Holanda,Cajamarca,Cajamarca,Cajamarca,género
291,Asociacion Huampumayo,Pasco,Pasco,Oxapampa,ambiente
292,"Asociacion Illariy Para El Desarrollo De La Region, Asider",Cusco,Cusco,Sicuani,agropecuario / gobernabilidad / producción
293,Asociacion Indigena Fuerza Y Coraje Para El Desarrollo De Nuestras Comunidades,Junin,Junin,El Tambo,género / inclusión social
294,Asociacion Iniciativa Para El Desarrollo,Lima,Lima,San Borja,gobernabilidad / inclusión social
295,Asociacion Instituto De Vigilancia Especializada En Oftalmologia - Ong´D,Ica,Ica,Ica,educación / salud
296,Asociacion Integral La Aurora De Paracas,Ica,Ica,San Andres,ambiente / educación / salud
297,Asociacion Integral Para El Desarrollo Del Pais (Asidep),Lima,Lima,Lima,género
298,Asociacion Integratorias Humanitarias De Desarrollo,Lima,Lima,Pueblo Libre,educación / género
299,Asociacion Interdenominacional Para El Desarrollo Integral De Apurimac,Apurimac,Apurimac,Abancay,educación / inclusión social
300,Asociacion Interetnica De Desarrollo De La Selva Peruana,Lima,Lima,La Victoria,cultura / educación / gobernabilidad / salud
301,Asociacion Internacional Mensajeros De La Paz,Lima,Lima,Chorrillos,educación / género / gobernabilidad / inclusión social / justicia
302,Asociacion Investigaciones Educativas Cientificas,Lima,Lima,Chorrillos,educación
303,Asociacion Irakapampa - Asirak Adgentes,La Libertad,La Libertad,Cochorco,género / gobernabilidad
304,"Asociacion Ius Gentium Para El Desarrollo Sostenible, Seguridad Humana Y Fortalecimiento Institucional En Grupos Vulnerables Y Excluidos",San Martin,San Martin,Moyobamba,ambiente / educación / gobernabilidad / salud
305,Asociacion Jaconrate de la Comunidad de Limon Gema,Ucayali,Ucayali,Manantay,agropecuario
306,Asociacion Jepelacio Selva Viva,San Martin,San Martin,Moyobamba,ambiente / género / vivienda y saneamiento
307,Asociacion Jesus Obrero,Cusco,Cusco,Andahuaylillas,agropecuario / ambiente / ciencia y tecnología / economía / género / gobernabilidad / inclusión social / producción
308,Asociacion Jilata,Tacna,Tacna,Tacna,agropecuario / ambiente / ciencia y tecnología / economía / género / gobernabilidad / trabajo
309,Asociacion Jorge Idiaquez Lealtad,Lima,Lima,Breña,educación / género / salud
310,Asociacion Jrc Catunta Para La Conservacion De La Flora Y Fauna Silvestre,Puno,Puno,Pisacoma,ambiente
311,Asociacion Juntos En Accion Para El Desarrollo De Los Pueblos,Lima,Lima,San Juan De Miraflores,educación
312,Asociacion Kallpa para la Promocion Integral de la Salud y el Desarrollo,Lima,Lima,La Victoria,educación / género / salud
313,Asociacion Kana - Ayacucho,Ayacucho,Ayacucho,Ayacucho,género
314,Asociacion Kantu - Sembrando Esperanza,Lima,Lima,San Martin De Porres,género / salud
315,Asociacion Keep,Ucayali,Ucayali,Calleria,ambiente
316,Asociacion Know & Do,Lima,Lima,Los Olivos,educación / trabajo
317,Asociacion Kunaq Yachay,Lima,Lima,Villa El Salvador,educación
318,Asociacion Kusi Warma,Lima,Lima,San Miguel,educación / género / inclusión social
319,Asociacion Kuskanchik por las Personas con Discapacidad,Ayacucho,Ayacucho,Ayacucho,género
320,Asociacion La Huella En El Bosque,Lima,Lima,Barranco,género
321,Asociacion La Restinga,Loreto,Loreto,Iquitos,género / gobernabilidad / vivienda y saneamiento
322,Asociacion Laboral Para El Desarrollo,Lima,Lima,Magdalena Del Mar,trabajo
323,Asociacion Latinoamericana De Biotecnologia,Lima,Lima,Lince,salud / vivienda y saneamiento
324,Asociacion Medio Ambiental Q´Umir Allpa,Junin,Junin,El Tambo,ambiente / educación
325,Asociacion Mejorando Vidas Hemodialisis Peru,Lima,Lima,Surquillo,género / salud
326,Asociacion Minga Peru,Lima,Lima,Miraflores,agropecuario
327,Asociacion Ministerio Diaconal Paz Y Esperanza,Lima,Lima,Jesus Maria,economía / educación / género / justicia
328,Asociacion Misionera De Obra Social,Lima,Lima,Ate,educación / género
329,Asociacion Misionera Para La Orientacion En La Realidad,Ucayali,Ucayali,Calleria,gobernabilidad / inclusión social / trabajo
330,Asociacion Mujer Familia,Cajamarca,Cajamarca,Cajamarca,ciencia y tecnología / cultura / economía / educación / género / gobernabilidad / inclusión social
331,Asociacion Mujer Sana,Cusco,Cusco,Santiago,salud
332,Asociacion Mujeres De Accion - Organismo No Gubernamental,Arequipa,Arequipa,Arequipa,educación / género / salud
333,Asociacion Mujeres En Accion (Ama),La Libertad,La Libertad,Trujillo,educación / género / gobernabilidad / inclusión social / producción
334,Asociacion Multidisciplinaria Uj Maya,Tacna,Tacna,Tacna,educación / género / gobernabilidad
335,Asociacion Mundo Salud,La Libertad,La Libertad,Trujillo,salud
336,Asociacion Nacional De Desarrollo Educativo Ecologico Y Social Andees Pachatusan,Cusco,Cusco,San Sebastian,ambiente / salud
337,Asociacion Nacional De Ejecutores De Contratos De Administracion De Las Reservas Comunales Del Peru,Lima,Lima,Lince,ambiente / gobernabilidad / inclusión social
338,Asociacion Nacional De Institutos De Desarrollo Del Sector Informal,Lima,Lima,San Isidro,ciencia y tecnología / economía / educación / género / gobernabilidad / producción / trabajo
339,Asociacion Nacional De Investigacion Proyectos Apoyo Al Desarrollo - Anipad,Lima,Lima,Santa Anita,agropecuario / educación
340,Asociacion Nacional De Productores Ecologicos Del Peru,Lima,Lima,Jesus Maria,ambiente
341,Asociacion Negra De Defensa Y Promocion De Los Derechos Humanos,Lima,Lima,Lima,educación / justicia
342,Asociacion Niños Del Arco Iris,Cusco,Cusco,Urubamba,educación / inclusión social / salud
343,Asociacion No Gubernamental Rural Amazonica Andina Choba Choba,San Martin,San Martin,Tarapoto,agropecuario / educación
344,Asociacion Nuevos Pasos,La Libertad,La Libertad,El Porvenir,ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / salud
345,Asociacion Nutricion Y Salud,Lima,Lima,Miraflores,salud
346,Asociacion Ñan,Lambayeque,Lambayeque,Mochumi,educación / género
347,Asociacion Okinawense Del Peru,Lima,Lima,Ate,educación / género
348,Asociacion Ong Biodiversidad Indigena,Ucayali,Ucayali,Yarinacocha,producción / salud
349,Asociacion Ong Linaje Real,Arequipa,Arequipa,Arequipa,educación / género
350,Asociacion Ong. Educacion Superior,Piura,Piura,Marcavelica,educación / salud
351,Asociacion Ongd Para El Desarrollo Humano Sostenible En El Peru,Junin,Junin,Pilcomayo,género / gobernabilidad
352,Asociacion Oportunidad De Progreso (Opro),Lima,Lima,La Molina,educación / salud
353,Asociacion Oportunidades Para La Vida,Ayacucho,Ayacucho,Huanta,ambiente / educación / género / salud
354,Asociacion Organismo No Gubernamental - Asociacion Educativa Para El Desarrollo Hatarisun,Apurimac,Apurimac,Andahuaylas,gobernabilidad
355,Asociacion Organismo No Gubernamental De Desarrollo Centro De Investigacion Para El Desarrollo Sostenible De La Region Moquegua,Moquegua,Moquegua,Samegua,educación / género
356,Asociacion Organizacion No Gubernamental De Desarrollo Amazonico Sostenible Madre De Dios,Madre De Dios,Madre De Dios,Tambopata,género / gobernabilidad
357,Asociacion Orquestas Infantiles Y Juveniles Del Peru,Lima,Lima,Miraflores,educación
358,Asociacion Pacha Uyway,Ayacucho,Ayacucho,Ayacucho,agropecuario / ambiente / economía / educación / género / gobernabilidad / trabajo
359,Asociacion Para Apoyo Social Y Empoderamiento Del Ciudadano - Collik Renace,Lima,Lima,Comas,ambiente / educación / inclusión social / justicia / producción / trabajo / vivienda y saneamiento
360,Asociacion Para El Desarrollo Agrario Y Ambiental Kotosh Peru - Ongd,Huanuco,Huanuco,Amarilis,ambiente / educación
361,Asociacion Para El Desarrollo Agroecologico Y Regional,Lima,Lima,Lurigancho,agropecuario / ciencia y tecnología
362,Asociacion Para El Desarrollo Ambiental De Moquegua,Moquegua,Moquegua,Moquegua,ambiente
363,Asociacion Para El Desarrollo Andino Amazonico Huñuq Mayu,Apurimac,Apurimac,Andahuaylas,educación / salud
364,Asociacion Para El Desarrollo Comunal Sunchubamba,La Libertad,La Libertad,La Esperanza,ambiente / gobernabilidad
365,Asociacion Para El Desarrollo De Ancash Y Zonas Aledañas,Ancash,Ancash,Carhuaz,educación / género / salud
366,Asociacion Para El Desarrollo De La Enseñanza Universitaria,Lima,Lima,Miraflores,educación / salud
367,Asociacion Para El Desarrollo De La Niñez En El Peru,Apurimac,Apurimac,Abancay,género / salud
368,Asociacion Para El Desarrollo De La Sanidad Y La Medicina,Lima,Lima,Miraflores,ambiente / educación / salud
369,"Asociacion Para El Desarrollo Del Programa Biocacao Aromatico ""Programa Biocacao""",Ucayali,Ucayali,Neshuya,ambiente
370,Asociacion Para El Desarrollo Economico Del Peru,Cusco,Cusco,Santiago,agropecuario / ciencia y tecnología / economía / educación / gobernabilidad / producción / trabajo
371,Asociacion Para El Desarrollo Economico Social,Ayacucho,Ayacucho,Ayacucho,inclusión social
372,Asociacion Para El Desarrollo Economico Social Finandes,Lima,Lima,San Miguel,educación
373,Asociacion Para El Desarrollo Equitativo Sustentable,Lima,Lima,La Molina,agropecuario / ambiente / ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / producción / salud / trabajo / vivienda y saneamiento
374,Asociacion Para El Desarrollo Humano Integral Sostenible Ayllu Peru,Ayacucho,Ayacucho,Huanta,ambiente / educación
375,Asociacion Para El Desarrollo Inclusivo Integral Y Sostenible De La Poblacion Peruana,Ayacucho,Ayacucho,Ayacucho,género
376,Asociacion Para El Desarrollo Integral Alternativo Regional,Cajamarca,Cajamarca,Cajamarca,educación / género
377,Asociacion Para El Desarrollo Integral De La Persona Cusca Risun Peru,Lima,Lima,San Borja,agropecuario / economía / educación / energía/extractiva
378,Asociacion Para El Desarrollo Integral De La Selva Peruana (Adisel Peru),Lima,Lima,San Martin De Porres,agropecuario / inclusión social / salud
379,Asociacion Para El Desarrollo Integral Shalom,Lima,Lima,Lima,género / trabajo
380,Asociacion Para El Desarrollo Integral Y Sostenible De Los Pueblos Andino Amazonicos,Huanuco,Huanuco,Huanuco,ambiente / educación / inclusión social / salud
381,Asociacion Para El Desarrollo Rikchari,Apurimac,Apurimac,Andahuaylas,educación
382,Asociacion Para El Desarrollo Rural - Urbano,Callao,Callao,La Perla,educación / gobernabilidad / inclusión social
383,Asociacion Para El Desarrollo Social Ambiental Y Tecnologico Llapa Tukuy,Huanuco,Huanuco,Amarilis,ambiente / educación / salud
384,Asociacion Para El Desarrollo Social Sostenible,Huanuco,Huanuco,Amarilis,agropecuario / ambiente / educación / género / salud
385,Asociacion Para El Desarrollo Sostenible Cajamarca,Cajamarca,Cajamarca,Cajamarca,agropecuario / ambiente / gobernabilidad
386,Asociacion Para El Desarrollo Sostenible Del Peru,Lima,Lima,San Isidro,educación / género / salud
387,Asociacion Para El Desarrollo Sostenible Mundial,Lambayeque,Lambayeque,Cayalti,educación / salud
388,Asociacion Para El Desarrollo Y Conservacion De Los Recursos Naturales Peru - Acrenap,Junin,Junin,Coviriali,agropecuario / ambiente
389,"Asociacion Para El Desarrollo, Educacion Y Ecologia",Junin,Junin,El Tambo,agropecuario / salud
390,"Asociacion Para El Desarrollo, Investigacion, Produccion Ecologica Sostenible Y De Servicios",Junin,Junin,El Tambo,agropecuario / inclusión social
391,Asociacion Para El Mejoramiento De La Educacion Basica De Piura,Lima,Lima,Pueblo Libre,educación
392,Asociacion Para El Progreso Emprendedor Y Desarrollo De Inclusion Social,Lima,Lima,Huacho,educación / género
393,"Asociacion Para La Conservacion Ambiental, Seguridad Alimentaria Y Cultura - Acasayc",Callao,Callao,Bellavista,ambiente / educación / género
394,Asociacion Para La Conservacion De Ambientes Marinos Y Costeros,Lima,Lima,La Molina,educación
395,Asociacion Para La Conservacion De La Biodiversidad En El Peru - Perla Del Pachitea,Huanuco,Huanuco,Puerto Inca,ambiente
396,Asociacion Para La Conservacion De La Cuenca Amazonica,Lima,Lima,Miraflores,agropecuario / ambiente
397,Asociacion Para La Conservacion Del Patrimonio Cultural Amazonico,Lima,Lima,Jesus Maria,agropecuario
398,Asociación para la Conservación y Uso Sostenible de la Biodiversidad Agricola,Junin,Junin,San Pedro De Cajas,agropecuario / ambiente
399,"Asociación para la Cooperación, Bienestar y Desarrollo Integral Humanitario",La Libertad,La Libertad,Laredo,ambiente / educación / género
400,"Asociación para la Educación Ecológica y Desarrollo Sostenible ""Crece Perú""",Junin,Junin,Pilcomayo,ambiente / género
401,Asociación para la Formación Humana y Capacitación Técnica,Lima,Lima,Comas,ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / trabajo
402,Asociación para La Formación y el Desarrollo del Perú,La Libertad,La Libertad,Victor Larco Herrera,ambiente / educación / género
403,"Asociación para la Inclusión y Acción Social ""Socias Perú ONGD""",Ayacucho,Ayacucho,Ayacucho,ambiente / género
404,Asociacion para la Investigacion y Desarrollo Humano,Piura,Piura,Piura,ambiente
405,Asociación para la Investigación y Desarrollo Integral,Lima,Lima,San Isidro,ambiente
406,Asociación para la Investigación y Desarrollo Sostenible Suma Marka - Ongd,Puno,Puno,Puno,ambiente / género
407,"Asociación para la Investigación, Promoción Integral y el Desarrollo Social",Junin,Junin,Huancayo,género
408,Asociación para la Naturaleza y el Desarrollo Sostenible,Cusco,Cusco,Wanchaq,agropecuario / ambiente
409,Asociación para la Niñez y su Ambiente,Lima,Lima,Magdalena Del Mar,ambiente / cultura / educación / salud
410,Asociación para la Promoción de la Educacion Rural y el Desarrollo de Apurimac Tarpurisunchis,Apurimac,Apurimac,Tamburco,educación
411,Asociación para la Promoción del Desarrollo Humano,Cusco,Cusco,Wanchaq,género / gobernabilidad
412,Asociacion Para Proyectos Sostenibles Multisectoriales Urbano Rural,Junin,Junin,El Tambo,ambiente / educación / salud
413,Asociacion Paso Firme,Lima,Lima,San Miguel,género / salud
414,Asociacion Pataz,La Libertad,La Libertad,Trujillo,inclusión social
415,Asociacion Paz - Peru - Organismo No Gubernamental,Arequipa,Arequipa,Socabaya,educación
416,Asociacion Paz Holandesa,Arequipa,Arequipa,Paucarpata,género / salud
417,Asociacion Peru Yantalo Foundation,Lima,Lima,Miraflores,género / salud
418,Asociacion Peruana A.T.D. Cuarto Mundo,Cusco,Cusco,Cusco,educación / género
419,Asociacion Peruana De Consumidores Y Usuarios,Lima,Lima,Miraflores,educación
420,Asociacion Peruana De Prevencion De La Sordera Y Ayuda Al Discapacitado Auditivo - Uyari,Lima,Lima,Miraflores,salud
421,Asociacion Peruana De Productores De Cacao,Lima,Lima,Magdalena Del Mar,agropecuario / ambiente / género / gobernabilidad
422,Asociacion Peruana Del Bambu,Lima,Lima,La Molina,agropecuario / ambiente
423,Asociacion Peruana Ecologista Y De Interes Conservacionista En America,Piura,Piura,Sullana,agropecuario / ambiente / educación / gobernabilidad / producción / trabajo
424,Asociacion Peruana Mujer Y Familia,Callao,Callao,Callao,inclusión social / salud
425,Asociacion Peruana Para El Desarrollo Integral De La Mineria Artesanal,Lima,Lima,Chorrillos,educación / inclusión social
426,Asociacion Peruana Para La Conservacion De La Naturaleza,Lima,Lima,Magdalena Del Mar,ambiente / educación
427,Asociacion Peruana Para La Promocion Del Desarrollo Sostenible,Lima,Lima,Santiago De Surco,agropecuario / ambiente / ciencia y tecnología / educación / producción / trabajo
428,Asociacion Peruana Para La Seguridad Alimentaria Y Nutricional,Lima,Lima,San Isidro,salud
429,Asociacion Peruana Refugio Para Mujeres Maltratadas Maria Auxiliadora,Lima,Lima,San Miguel,educación / género
430,Asociacion Peruano - Japonesa Cusco,Cusco,Cusco,Santiago,género
431,Asociacion Peruano Japonesa,Lima,Lima,Jesus Maria,cultura / inclusión social / salud
432,Asociacion Peruano Japonesa De La Provincia De Huaral,Lima,Lima,Huaral,educación / inclusión social
433,Asociacion Peru-Austria Internacional,Lima,Lima,Miraflores,ambiente / educación / género / producción / salud
434,Asociacion Picaflor House,Cusco,Cusco,Wanchaq,educación / salud
435,Asociacion Por El Equilibrio Ecologico Fuente De Desarrollo,Huanuco,Huanuco,Rupa-Rupa,agropecuario / ambiente
436,Asociacion Por Eso Peru,Cusco,Cusco,Calca,educación / género
437,"Asociacion Por La Recuperacion Y Conservacion De La Biodiversidad ""Wiñay Causaq""",Cusco,Cusco,Cusco,agropecuario / ambiente / inclusión social
438,Asociacion Por La Vida,Piura,Piura,Piura,educación / género / salud
439,Asociacion Por Los Derechos Del Niño Con Cancer,Lima,Lima,Lima,género / salud
440,Asociacion Por Los Neuro Discapacitados Del Peru,Lima,Lima,Santiago De Surco,salud
441,Asociacion Posada De Belen Chorrillos,Lima,Lima,Chorrillos,género
442,Asociacion Pro Bienestar Y Desarrollo Probide,Lima,Lima,La Molina,producción / trabajo
443,Asociacion Pro Derechos Humanos,Lima,Lima,Jesus Maria,cultura / educación / gobernabilidad / inclusión social / justicia
444,Asociacion Pro Desarrollo Integral De Altiplano,Puno,Puno,Puno,género / salud
445,Asociacion Promocion De La Gestion Rural Economica Y Social,Piura,Piura,Castilla,agropecuario / ambiente / gobernabilidad
446,"Asociacion Promotora De Vivienda, Agroindustria, Turismo, Ecologia Y Energia De La Region Nor Oriental Del Marañon Viagrotur",Cajamarca,Cajamarca,Jaen,ambiente / energía/extractiva / género / producción
447,Asociacion Promotora Integral De Desarrollo Social,La Libertad,La Libertad,Moche,ambiente / género / inclusión social
448,"Asociacion Promotora Para La Educacion, Medio Ambiente Y Agricultura",Lambayeque,Lambayeque,Illimo,ambiente / educación
449,Asociacion Promoviendo Valores,Junin,Junin,Huancayo,justicia / producción
450,Asociacion Propuesta Latina,Lima,Lima,San Miguel,ambiente / género / salud / trabajo
451,Asociacion Propurus,Ucayali,Ucayali,Yarinacocha,ambiente
452,Asociacion Proteccion Ambiental Y Desarrollo Sostenible,Junin,Junin,Huancayo,ambiente / educación / salud
453,Asociacion Proyeccion,Arequipa,Arequipa,Arequipa,género
454,Asociacion Proyecto De Desarrollo Vida Buena,Cajamarca,Cajamarca,Cajamarca,agropecuario / educación / producción / salud
455,Asociacion Proyecto Gamaliel - Las Asambleas De Dios Del Peru,Callao,Callao,Ventanilla,educación
456,Asociacion Proyecto Integral De Las Comunidades,Ayacucho,Ayacucho,Ayacucho,ambiente
457,Asociacion Proyecto Mono Tocon,San Martin,San Martin,Moyobamba,ambiente
458,Asociacion Proyecto Peruanos,Lima,Lima,Santiago De Surco,educación
459,Asociacion Proyectos Peru,Ucayali,Ucayali,Yarinacocha,género
460,Asociacion Pueblo Indigena En Accion,Cusco,Cusco,Wanchaq,género
461,Asociacion Pukllasunchis,Cusco,Cusco,Cusco,ambiente / ciencia y tecnología / cultura / educación / gobernabilidad / justicia / trabajo
462,Asociacion Qolla Aymara,Puno,Puno,Puno,cultura / género
463,Asociacion Qosqo Maki,Cusco,Cusco,Cusco,cultura / género / inclusión social / salud
464,Asociacion Quinua Wasi,Puno,Puno,Puno,agropecuario
465,Asociacion Red de Apoyo Solidario del Buen Pastor en el Perú - RAS,Lima,Lima,Magdalena Del Mar,género / producción
466,Asociacion Red Innova,Lima,Lima,Jesus Maria,educación / género / salud
467,Asociacion Red Peruana De Divulgadores Cientificos,Lima,Lima,Santiago De Surco,educación
468,Asociacion Red Suma,Lima,Lima,Jesus Maria,género
469,Asociación Religiosa Caritas de la Prelatura de Sicuani,Cusco,Cusco,Sicuani,género
470,Asociacion Runayay,Lima,Lima,Ate,educación / género / salud
471,Asociacion Sabavida Mejorando tu Vida,Cusco,Cusco,Wanchaq,ambiente
472,Asociacion Sabiduria Indigena Y Blanca Unido por una Existencia Natural y Oportuna,Loreto,Loreto,Iquitos,ambiente / producción / salud
473,Asociacion Sach´A Munay,Cusco,Cusco,Calca,educación
474,Asociacion Salud Educacion Sobrevivir Tambogrande,Piura,Piura,Tambo Grande,educación / gobernabilidad / vivienda y saneamiento
475,Asociacion Salvando Mi Planeta,Ica,Ica,Ica,ambiente / educación
476,Asociacion San Lucas - San Martin,San Martin,San Martin,Moyobamba,agropecuario / ambiente / ciencia y tecnología / educación / gobernabilidad / salud / trabajo / vivienda y saneamiento
477,Asociacion Savia Andina Pukara,Puno,Puno,Ayaviri,agropecuario / ambiente / ciencia y tecnología / economía / género / gobernabilidad
478,Asociacion Sayariy - Resurgiendo,La Libertad,La Libertad,Trujillo,educación
479,Asociacion Semillas De Cambio,Lima,Lima,Pueblo Libre,educación / inclusión social
480,Asociacion Semillas Para El Desarrollo Sostenible,Junin,Junin,Pangoa,educación / género
481,Asociacion Servicios Ecosistemicos Peru,Lima,Lima,Lima,ambiente
482,Asociacion Servicios Educativos Rurales,Lima,Lima,Magdalena del Mar,gobernabilidad / vivienda y saneamiento
483,Asociacion Shura,Junin,Junin,Satipo,ambiente / género / gobernabilidad
484,Asociacion Sin Fines De Lucro Wawasonqo,Cusco,Cusco,Cusco,salud
485,Asociacion Sin Fines De Lucro: Caritas Sin Lagrimas - Peru,Lima,Lima,San Juan De Miraflores,educación / género / salud
486,"Asociacion Sin Fronteras Para El Apoyo Y El Desarrollo De La Educacion, Salud Y Ambiente",La Libertad,La Libertad,Trujillo,género
487,Asociacion Sistemas B Peru,Lima,Lima,Chorrillos,educación
488,Asociacion Solidaria Y Asistencial Cambiando Vidas,La Libertad,La Libertad,Trujillo,ambiente / educación
489,Asociacion Solidaridad Cristiana Ayudanos A Ayudar,Loreto,Loreto,Yurimaguas,salud
490,Asociacion Solidaridad Integrando Yacus Al Peru,Lima,Lima,Breña,ambiente / género
491,Asociacion Solidaridad Peru Alemania,Lima,Lima,San Juan de Lurigancho,educación / inclusión social
492,Asociacion Solidaridad Wanka,Junin,Junin,El Tambo,género
493,"Asociacion Solidaridad, Verdad Y Tecnologia",Ancash,Ancash,Chimbote,género
494,Asociacion Solucion Verde,Ucayali,Ucayali,Calleria,ambiente / educación
495,Asociacion Suma Qamaña Para La Educacion Y Desarrollo Sostenible,Puno,Puno,Puno,ambiente / educación
496,Asociacion Sumaq Illari,Lima,Lima,Puente Piedra,cultura / educación / salud
497,Asociacion Sut´  Iyay,Cajamarca,Cajamarca,Los Baños Del Inca,ambiente / comercio y turismo
498,Asociacion Suyay Peru,Lima,Lima,Miraflores,ambiente / educación
499,Asociacion T´Ikani,Junin,Junin,Huancayo,educación
500,Asociacion Taller De Los Niños,Lima,Lima,Magdalena Del Mar,cultura / salud / trabajo
501,Asociacion Tarpusunchis,Lima,Lima,Jesus Maria,agropecuario / educación / salud
502,Asociacion Tarpuy Formando La Nueva Generacion,Lima,Lima,Vegueta,salud
503,Asociacion Tawantinsuyuman Evangelioq K´Ancharinanpaq,Cusco,Cusco,San Jeronimo,género
504,Asociacion Tecnica Desarrollo Economico Social Ambiental,Lambayeque,Lambayeque,Jose Leonardo Ortiz,agropecuario / ambiente / energía/extractiva / gobernabilidad / inclusión social
505,Asociacion Tecnologia Ecologia Y Desarrollo,Lima,Lima,Surquillo,género / producción
506,Asociacion Tecnologia Y Desarrollo,Lima,Lima,San Isidro,agropecuario / educación / producción
507,"Asociacion Trabajo, Paz Y Sociedad",Lima,Lima,Chorrillos,producción
508,Asociacion Tres Fronteras,Madre De Dios,Madre De Dios,Las Piedras,agropecuario
509,Asociacion Union Para La Cooperacion Y El Desarrollo,Lima,Lima,Miraflores,producción
510,Asociacion Urpichallay,Ancash,Ancash,Marcara,ambiente / ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social
511,Asociacion Vamos Peerless,Lima,Lima,Pueblo Libre,género
512,Asociacion Vega,Piura,Piura,Castilla,agropecuario / ambiente / comercio y turismo / educación / gobernabilidad / salud
513,Asociacion Via Libre,Lima,Lima,Lima,educación / salud
514,Asociacion Vida Y Voluntariado,Lima,Lima,San Isidro,género
515,"Asociacion Vida, Inclusion Y Desarrollo",Lima,Lima,Lima,ambiente / educación / género / salud
516,Asociacion Vidawasi Peru,Lima,Lima,San Isidro,género
517,"Asociacion Wayruru Peru, Educacion, Oportunidades Y Calidad De Vida - Ongd",Lima,Lima,Lince,ambiente / educación
518,Asociacion Yachay Kallpa,Lima,Lima,San Borja,ambiente / educación / género
519,Astalentum,Lima,Lima,San Juan De Miraflores,educación / gobernabilidad
520,Atiycuy Peru,Lima,Lima,Santiago De Surco,ambiente / género
521,Auditoria Legal & Social,Lima,Lima,Lima,educación / género / gobernabilidad
522,Avina,Lima,Lima,Miraflores,gobernabilidad
523,"Ayne Peru Trinitarias, Solidaridad Y Desarrollo",Lima,Lima,Puente Piedra,educación / género / salud / trabajo
524,Ayni - Grupo De Cooperacion Para El Desarrollo Social,Lima,Lima,Lince,género / gobernabilidad / inclusión social / salud
525,Aynimundo,Lima,Lima,San Juan De Miraflores,ambiente / ciencia y tecnología / cultura / economía / educación / género / inclusión social
526,Ayuda En Accion Rural Y Urbana Del Peru,Arequipa,Arequipa,Jacobo Hunter,educación / género / salud
527,Ayuda Para Vida Silvestre Amenazada Sociedad Zoologica De Francfort Peru,Cusco,Cusco,Wanchaq,ambiente / educación
528,Ayudando A Vivir Mejor,Lima,Lima,San Borja,educación / género / salud
529,Bcprovide,Lima,Lima,La Molina,educación / género
